а-агш	а-агш (абх.) Salalbana L. Уапшы псахъвакIахвхва\n1. ива белая;\n
гIалачвара	гIа́лачвара\n1. перех.\n1) подливать, подлить, вливать, влить что, чего;\nачIван дзыршы гIалачвара подлить кипяток в бульон
гIалашвара	гIа́лашвара\n1. неперех. перен.\n1) сваливаться, свалиться, падать, упасть (в густую массу – в сторону говорящего);\nацIла ахIвынчIвы йгIалашватI дерево упало в грязь\n2) случаться, случиться, бывать, быть;\n попадать, попадаться;\nпслачва дуквакIгьи гIалашвитI попадается и крупная рыба
гIалащцарахара	гIалащца́рахара\n1. неперех.\n1) темнеть, потемнеть, чернеть, почернеть;\nажвгIванд гIалащцарахатI небо почернело
гIалаъабара	гIа́лаъабара\n1. неперех.\n1) лезть, влезать, влезть рукой (в какую-л. массу – по направлению к говорящему) во что;\n
гIалбгIагара	гIа́лбгIагара\n1. перех.\n1) сносить, снести (сверху вниз – по направлению к говорящему) кого-что;\n
гIалбгIара	гIа́лбгIара\n1. неперех.\n1) сходить, сойти, спускаться, спуститься (по направлению к говорящему);\nахъалырта гIалбгIара спуститься с лестницы\n2) падать (о граде, снежинках, каплях дождя);\n
гIалбгIыкъьара	гIалбгIы́къьара\n1. неперех.\n1) спускаться, спуститься бегом (по направлению к говорящему);\nатоба гIалбгIыкъьара бегом спуститься с горы\n2) течь (по направлению к говорящему – вниз);\nадзыгабыхъв йгIалбгIыкъьитI речка течёт с горы
гIалгамта	гIалга́мта\n1.\n1) время окончания чего-л.;\nапхьара гIалгамта время окончания учёбыинститут гIалгамта время окончания института
гIалгара	гIа́лгара\n1.\n1) перех. выносить, вынести, вывозить, вывезти (ив массы однородных предметов, напр. из леса, камыша и т. п. – по направлению к говорящему) кого-что;\nабна мшгIалгара вывезти дрова из леса\n2) перен. спасать, спасти, избавлять, избавить кого от чего;\n
гIалггIара	гIа́лггIара\n1. неперех.\n1) раздаваться, раздаться, доноситься, донестись (йз леса, зарослей и т. п. – по направлению к говорящему);\nабна быжьквакI гIалггIун из леса доносились какие-то звуки
гIалгъызгIара	гIа́лгъызгIара\n1. неперех.\n1) издавать (издать) стон;\n стонать (во сне, в бреду);\nачымазагачва дгIалгъызгIитI больной стонет во сне
гIалгъычгIара	гIа́лгъычгIара\n1. перех.\n1) воровать, своровать (из какой-л. массы) что;\nакIартIоф сама гIалгъычгIара воровать картофель из кучи
гIалгIвагIара	гIа́лгIвагIара\n1. неперех.\n1) сохнуть, засыхать, засохнуть (о ветвях);\n
гIалгIвгIвра	гIалгIвгIвра́\n1. неперех.\n1) высыпать (о сыпи).;\n
гIалгIвгIвырта	гIалгIвгIвы́рта\n1.\n1) место где высыпала сыпь;\n
гIалгIвылгIара	гIалгIвы́лгIара\n1. неперех.\n1) выписывать, выписать что;\nйаъу хьызква гIалгIвылгIара выписать имена существительные
гIалда-налда	гIалда-на́лда\n1.\n1) (самостоятельно не употребляется)гIалда-налда кIылда джьокъвтуда-сюда иголкой, а шитья нет (о женщине, не умеющей шить)
гIалда-налдара	гIалда-на́лдара\n1. перех.\n1) шить небрежно (как-нибудь, абы как) что;\n
гIалдара	гIа́лдара\n1. перех.\n1) выводить, вывести, вывозить, вывезти (из густой или однородной массы – по направлению к говорящему) кого-что;\nасаби ахIвынчIвы дгIалдара вывести ребёнка из грязи\n2) выводить, вывести (птенцов);\n
гIалдахра	гIа́лдахра\n1. перех.\n1) забирать, забрать в родительский дом от мужа (дочь или сестру);\n
гIалджвджвгIара	гIа́лджвджвгIара\n1. перех.\n1) застирывать, застирать (часть чего-л.);\nабжьыггIалджвджвгIара застирать пятно
гIалжвара	гIа́лжвара\n1. перех.\n1) вытаскивать, вытащить, выдергивать, выдёргивать, выдернуть, вырывать, вырвать (гвоздь, перья, траву);\n2) щипать, ощипывать что;\nахъвква гIалжваращипать перья, ощипывать (птиц)
гIалжварта	гIалжва́рта\n1.\n1) место откуда чтб-либо вырвано;\n
гIалжвжвара	гIалжвжвара́\n1. перех.\n1) вырывать, вырвать (многое);\nашварахъва гIалжвжвара вырвать сорняки
гIалигIара	гIа́лигIара\n1. неперех.\n1) вырастать, вырасти (о растениях);\nакIартIоф семычкгIалигIатI на картофельном поле выросли подсолнухи
гIалкъьара	гIа́лкъьара\n1. неперех.\n1) выбегать, выбежать (из леса, зарослей и т. п. – по направлению к говорящему);\nабна гIалкъьара выбежать из леса\n2) перен. высыпать, высыпать, появляться, появиться, выскакивать, выскочить (о прыщах, сыпи и т. п.);\n◊ачва гIалкъьараа) проснуться, пробудиться (увидев страшный сон)б) очнуться
гIалкIгIара	гIа́лкIгIара\n1. перех.\n1) ловить, выловить, поймать кого-что;\nадзхъвкIыл пслачва гIалкIгIара выловить рыбу из пруда\n2) отделять, отделить, выделять, выделить, отмечать, отметить что;\nасуффикс ацIачIвагIварала йгIалкIгIара выделить суффикс подчёркиваниемкъарандаш къапщыла йгIалкIгIара отметить красным карандашомацитата гIалкIгIара выделить цитату\n3) грам. обособлять, обособить что;\nажва бжьыла йгIалкIгIараобособить (выделить) слово интонационно\n4) перен. отмечать, отметить, выделять, выделить кого;\nанхагIвчва апхъагылагIвчва гIалкIгIара выделить передовиков\n2. в знач. сущ.\n1) грам. обособление;\n
гIалпхьадзара	гIа́лпхьадзара\n1. перех.\n1) отсчитывать, отсчитать (выделяя, отбирая) кого-что;\n
гIалпшра	гIа́лпшра\n1. неперех.\n1) выглядывать, выглянуть (из леса, зарослей и т. п. – по направлению к говорящему);\nабна гIалпшра выглянуть из леса\n2) виднеться, просвечивать сквозь что;\nатдзы ацIлаква йгIарылпштI сквозь деревья виднеется дом
гIалпIлара	гIа́лпIлара\n1. неперех.\n1) сыпаться, высыпаться (по направлению к говорящему) из чего;\nашыхпалова гIалпIлитI из соломы сыплется мякина
гIалпIларта	гIалпIла́рта см. гIалгIвгIвырта
гIалсра	гIа́лсра\n1. неперех.\n1) пропускать, пропустить (воду, влагу);\nащапIхъацIаква адзы гIарылситI туфли промокают\n2) проходить, пройти (через массу однородных предметов – по направлению к говорящему);\nанартыхв гIалсра пройти через кукурузное поле
гIалхра	гIа́лхра\n1. перех.\n1) вытаскивать, вытащить, вынимать, вынуть что;\nамыгъ гIалхра вытащить занозу\n2) отбирать, отобрать, выбирать, выбрать кого-что;\nйугвапхау гIалх выбирай то, что тебе нравится\n3) мат. отнимать, отнять, вычитать, вычесть;\n4) добывать, добыть, получать, получить что из чего;\nанефть фатагьан гIалхра получить керосин из нефти\n5) вынимать, вынуть кого-что;\nасаби агара дгIалхра вынуть ребёнка из люльки◊аквтIагъь агвы хъвыц гIалихитIпогов. и в середине яйца он находит волос (о человеке, который считает себя умнее других)
гIалхъвшвгIара	гIа́лхъвшвгIара\n1. перех.\n1) выбирать, выбрать, отбирать, отобрать кого-что;\nакIартIоф адураква гIалхъвшвгIара выбрать крупную картошку
гIалхъыччгIара	гIалхъы́ччгIара\n1. неперех.\n1) смеяться (во сне);\nасаби ачва дгIалхъыччгIитI ребёнок смеётся во сне
гIалхырта	гIа́лхырта\n1.\n1) источник доходов;\n2) след (оставшийся после извлечения острых предметов);\n
гIалхIвара	гIа́лхIвара\n1.\n1) неперех. выдаваться вперёд;\n торчать, выпирать;\n выступать;\nачIвымыгъ абльни йгIалхIвитI в стене торчит гвоздь\n2) перех. выдергивать, выдёргивать, выдернуть что;\nабаца гIалхIвара выдернуть прут\n3) перех. выволакивать, выволочь (из леса, зарослей и т. п. – по направлению к говорящему) кого-что;\nабна амшIква гIалхIвара выволакивать дрова из леса
гIалцара	гIа́лцара\n1. перех.\n1) выбивать, выбить, выколачивать, выколотить что;\nальарыбыгасаба гIалцара выбить пыль из ковра\n2) прогонять, прогнать, выгонять, выгнать (из леса, зарослей и т. п. – по направлению к говорящему);\n кого;\nакIвтIуква анартыхв йгIалцара выгнать кур из кукурузы\n3) перен. исключать, исключить (из какой-л. организации) кого;\n
гIалцIла	гIа́лцIла\n1. послеслог\n1) соответствует предлогу из-за, поэтому;\nачымазагIвра йгIалцIла из-за болезниаква ъагIакваз йгIалцIла из-за дождяауи йгIалцIла поэтому, из-за этого
гIалцIра	гIа́лцIра\n1. неперех.\n1) выходить, выйти (из леса, зарослей и т. п. – по направлению к говорящему);\nабна гIалцIра выйти из леса\n2) отделяться, отделиться от кого;\nатгIачва гIарылцIра отделиться от родителей\n3) выходить, выйти (из какой-л. социальной среды);\n происходить;\nауи анхачва тгIачва дгIарылцIтI он вышел из рабочей семьи\n4) выступать, выступить (о поте);\nауи йхъапахь апхдзы гIалцIтI у него на лбу выступил пот\n5) уходить, уйти (от мужа);\n
гIалцIхра	гIа́лцIхра\n1. неперех.\n1) выходить, выйти (из леса, зарослей и т. п. – по направлению к говорящему);\n
гIалцIырра	гIа́лцIырра\n1. неперех.\n1) кричать, крикнуть (по направлению к говорящему – из леса, зарослей и т. п.);\n
гIалчвра	гIа́лчвра\n1. перех.\n1) обтесывать, обтёсывать, обтесать что;\nабрус гIалчвра обтесать бревно◊дгIалырчвын дыгьрымчвыхтIнеотёсанный, грубый (о человеке)
гIалчIвара	гIа́лчIвара\n1. неперех.\n1) просачиваться, просочиться через, сквозь что;\nабашлыкъ аква гIалчIватI сквозь башлык просочилась вода\n2) литься (о поте);\nапхдзы гIайылчIвитI с него льётся пот\n3) быть мокрым (о мягких и пористых предметах);\nачва дзы гIалчIвитI сено мокрое
гIалчIвугIара	гIалчIву́гIара\n1. неперех.\n1) плакать (во сне);\nасаби ачва дгIалчIвугIитI ребёнок плачет во сне
гIалчIвырра	гIа́лчIвырра\n1. неперех.\n1) пускать (пустить) ростки;\n всходить, взойти;\nаджыш гIалчIврытI чеснок взошёл
гIалшвтра	гIа́лшвтра\n1. неперех.\n1) выскакивать, выскочить (из леса, зарослей и т. п. – по направлению к говорящему);\n2) откалываться, отколоться;\nалентI гIалшвттI бант откололсяахъалацгIалшвттI шпилька откололась\n3) перен. пренебр. оказываться, оказаться не у дел;\n
гIалшвшвара	гIа́лшвшвара\n1. неперех.\n1) покрываться, покрыться сыпью;\n
гIалшвшварта	гIа́лшвшварта см. гIалгIвгIвырта
гIалшвшвра	гIа́лшвшвра\n1. неперех.\n1) свистеть, свистнуть (из леса, варослей и т. п. – по направлению к говорящему);\n
гIалщтра	гIа́лщтра\n1. перех.\n1) выпускать, выпустить (из леса, зарослей и т. п. – по направлению к говорящему) кого;\n2) прокалывать, проколоть что;\nадзадз аджьунт йгIалщтра шилом проколоть картонку\n3) перен. выкраивать, выкроить что;\n сэкономить на чём;\n
гIалыгIвгIвра	гIалыгIвгIвра́ см. гIалпIлара
гIалыгIвгIвырта	гIалыгIвгIвы́рта\n1.\n1) место где высыпала сыпь;\n
гIалыргара	гIалыргара́ побуд. от гIалгара II\n1. перех.\n1) давать (дать) возможность окончить (учебное заведение) кому;\nинститут гIалыргара дать возможность окончить институт
гIалыргIвзра	гIа́лыргIвзра\n1. перех.\n1) брать, взять втихомолку что;\n присваивать, присвоить (из большого количества) что;\n
гIалырпшра	гIа́лырпшра побуд. от гIалпшра\n1. перех.\n1) затрагивать, затронуть что;\n касаться, коснуться (в разговоре, в речи и т. п.) чего;\nауи ауыс гIалумырпшын! не касайся этого вопроса!
гIалырсара	гIа́лырсара\n1. перех.\n1) вырезать, вырезать что из чего;\n
гIалырхIгIагIв	гIалырхIгIа́гIв\n1.\n1) вздрагивающий часто во сне;\n
гIалырхIгIара	гIалы́рхIгIара\n1. неперех.\n1) вздрагивать, вздрогнуть во сне;\nасаби дгIалырхIгIитI ребёнок вздрагивает во сне
гIалырцкьгIара	гIалы́рцкьгIара\n1. перех.\n1) очищать, очистить от грязи что;\n счищать, счистить грязь с чего;\n
гIалыршвтра	гIа́лыршвтра\n1. перех.\n1) выбрасывать, выбросить (из большого количества) что;\nакIартIоф абгIараква гIалыршвтра(отбирая) выбрасывать гнилую картошку\n2) отбирать, отобрать кого-что;\n3) ронять, выронить что из чего;\nахъалацгIалыршвтра уронить из волос шпильку\n4) перен. пренебр. вышвырнуть (из какой-л. организации и т. п.) кого;\n
гIалысра	гIалы́сра\n1. неперех.\n1) прорезаться, прорезаться (о зубах);\nасаби йпыцква гIалыситI у ребёнка прорезаются зубы
гIалыхра	гIалы́хра\n1. перех.\n1) выкапывать, выкопать что;\nацIла гIалыхра выкопать деревоакIартIоф гIалыхра выкопать картошку
гIалыцI-налыцI	гIа́лыцI-налыцI\n1.\n1) нарыв, прыщ, фурункул;\n
гIалыцIра	гIалы́цIра\n1. неперех.\n1) вскакивать, вскочить, выскакивать, выскочить (о прыщах и т. п.);\n
гIалыцIырта	гIалы́цIырта\n1.\n1) место где вскочил прыщ (фурункул и т. п.);\n
гIальамат	гIальама́т\n1.\n1) чудо;\nанчва гIальамат шыббаразг. даю слово, что ты увидела чудо! (возглас удивления)а сара гIальамат!разг. о чудо! (возглас удивления)гIальамат ухIвит! разг. да что ты говоришь!
гIальаматта	гIальама́тта\n1. нареч.\n1) хорошо, чудно, чудесно, удивительно, замечательно, благополучно;\nауи абазала гIальаматта дчважвитI он хорошо говорит по-абазйнскигIальаматта дапхьитIон занимается (учится) хорошо
гIамачвпра	гIамачвпра́\n1. неперех.\n1) хмуриться, нахмуриться;\n2) перен. хмуриться (о погоде);\nамш йгIамачвнапитI погода хмурится
гIамачвысра	гIамачвы́сра\n1. неперех.\n1) сверкать, сверкнуть (о молнии);\nажвгIванд гIамачвыситI сверкает молния
гIамгвхра	гIа́мгвхра\n1. перех.\n1) вытаскивать, вытащить (из свёртка и т. п. – к себе) что;\n
гIамгвшвтра	гIа́мгвшвтра\n1. неперех.\n1) выпадать, выпасть (из свёртка и т. п. – по направлению к говорящему);\nакъарандаш гIамгвшвттI из свёртка выпал карандаш
гIамгвыгIвзра	гIа́мгвыгIвзра\n1. неперех.\n1) выскальзывать, выскользнуть (ив свёртка и т. п. – по направлению к говорящему);\nашIахIва акнига гIамгвыгIвзтI из свёртка выскользнула книга\n2) выползать, выползти (по направлению к говорящему) из-под чего;\nауапащтанчгIамгвыгIвзтI из-под бурки выползла змея
гIамгвыхра	гIамгвы́хра\n1. перех.\n1) разворачивать, развернуть, раскрывать, раскрыть (свёрток и т. п.);\n
гIамгвышвтра	гIамгвы́швтра\n1. неперех.\n1) разворачиваться, развернуться (о свёртке и т. п.);\n
гIамдагIвы	гIамдагIвы́\n1.\n1) бездельник, непоседа;\n2.\n1) непоседливый;\nаквчIыс гIамдагIвы адзыршы йтапитI посл. непоседливый цыплёнок попадает в кипяток
гIамдара	гIа́мдара\n1. перех.\n1) убирать, убрать, уводить, увести кого;\nасаби дгIамдара увести ребёнка
гIамдзамара	гIамдза́мара\n1.\n1) (самостоятельно не употребляется)гIамдзамара гIауырпхатI!не дожить тебе!, чтобы ты не дожил! (до зрелого возраста)угIамдзамарахатI!не дожить тебе!, чтобы ты не дожил! (до зрелого возраста)
гIамжвара	гIа́мжвара\n1. перех.\n1) отрывать, оторвать, срывать, сорвать что;\nашв амггIамжвара сорвать ручку с дверей
гIамкъьашара	гIамкъьашара́\n1. перех.\n1) обегать (многие места);\n
гIампIара	гIампIара́\n1. неперех.\n1) отскакивать, отскочить (по направлению к говорящему – ударившись обо что-либо);\nатоп абльын йаквшван йгIампIатI мяч ударился об стенку и отскочил
гIамсара	гIамсара́\n1. неперех.\n1) чихать, чихнуть;\n
гIамта	гIамта́\n1.\n1) время, эпоха, период;\nгIамта бзи хорошее время
гIамхъкъьара	гIамхъкъьара́\n1. неперех.\n1) вырваться невзначай (о слове и т. п.);\n
гIамцIасра	гIа́мцIасра\n1. перех.\n1) хватать, схватить (действуя по направлению к говорящему) кого-что;\nала йщапйгIамцIастI собака схватила его за ногу
гIамцIжвара	гIамцIжвара́\n1. перех.\n1) вырывать, вырвать (из пасти, из лап) что;\n
гIамшвтра	гIа́мшвтра\n1. неперех.\n1) отскакивать, отскочить, соскакивать, соскочить, отваливаться, отвалиться;\nамъа апыджь гIамшвттI с ремня отскочила пряжка
гIанагра	гIана́гра\n1. перех.\n1) приносить, принести (по направлению к говорящему) что;\nарадио хабар бзи гIанагтI перен. радио принесло хорошую вестьапша йгIанагыз аква йагахитI посл. что приносит ветер, то уносит вода\n2) нести (по направлению к говорящему) что;\nадзыгхычI-мычI гIанагитI река несёт щепки◊йгвы йгIанагтI а) ему показалосьб) он заподозрил, учуялйынасып йгIанагтI ему привалило счастье
гIанакъвра	гIанакъвра́\n1. неперех.\n1) опускаться, опуститься, снижаться, снизиться;\nасамолет гIанакъвытI самолёт снизился\n2) склоняться, склониться, сникать, сникнуть (о ветвях дерева, листьях кукурузы и т. п.);\n3) оседать, осесть (о фундаменте, о стенах);\n4) перен. быть пониженным (в должности);\n
гIанакIра	гIанакIра́\n1. перех.\n1) ловить, поймать кого-что;\nала жьа гIанакIытI собака поймала зайцаасаби атоп гIайкIытI ребёнок поймал мяч◊сынасып йгIанакIытI мне повезло
гIанапIырщщра	гIанапIырщщра́\n1. неперех.\n1) ощупывать, ощупать что;\n
гIанапIыцIахара	гIанапIы́цIахара\n1. неперех.\n1) оставаться, остаться в руках у кого;\n2) перен. оставаться, остаться на чьём-л. попечении (о больном, парализованном и т. п.);\n
гIанапIыцIпIлара	гIанапIы́цIпIлара\n1. неперех.\n1) сыпаться, высыпаться из рук;\n
гIанапIыцIцIра	гIанапIы́цIцIра\n1. неперех.\n1) освобождаться, освободиться от кого-чего;\n
гIанапIыцIшвтра	гIанапIы́цIшвтра\n1. перех.\n1) ронять, уронить из рук что;\n
гIанапIыцIырцра	гIанапIы́цIырцра\n1. перех.\n1) выбивать, выбить ударом из рук;\nахIвспа гIанапIыцIырцра выбить из рук нож\n2) перен. неодобр. выманивать, выманить что у кого;\n выуживать, выудить что у кого;\n
гIанапIыцIыршвтра	гIанапIы́цIыршвтра побуд. от гIанапIыцIшвтра\n1. перех.\n1) ронять, уронить из рук (умышленно) что;\n2) выбивать, выбить ударом из рук что;\n3) перен. отбивать, отбить охоту у кого к чему;\n
гIанапIыцIыршшара	гIанапIы́цIыршшара см. гIанапIыцIырцра \n2)
гIанарира	гIанари́ра\n1. неперех.\n1) приносить (принести, давать, дать) приплод;\n рожать, родить (о животных);\n телиться, отелиться, жеребиться, ожеребиться, пороситься, опороситься, котиться, окотиться и т. п.;\n
гIанаркъвра	гIанаркъвра́ побуд. от гIанакъвра\n1. перех.\n1) опускать, опустить что;\nухъа гIанаркъвы опусти головуапщырхгIанаркъвыопусти ведро [в колодец]\n2) понижать, понизить, снижать, снизить что;\nахIапчыпква рыхв гIанаркъвра снижать цены на товары\n3) перен. понижать, понизить (в должности) кого;\n4) унижать, унизить кого;\n
гIанаркIра	гIанаркIра́ побуд. от гIанакIра\n1. перех.\n1) побуждать (побудить) поймать кого;\n натравливать, натравить, науськивать, науськать кого;\nала ажьа гIанаркIра натравить собаку на зайца\n2) ловить, поймать (зацепив чем-л.) кого;\nажакIьадз пслачва гIанаркIра поймать рыбу удочкой\n3) перен. понимать, понять неправильно что;\nйсхIваз датша гIанайыркIытI он неправильно понял сказанное мною\n4) иметь в виду;\n подразумевать;\nари акIвпI йгIанасыркIыз вот что я имел в виду
гIанарпхара	гIанарпхара́\n1. неперех.\n1) греть, обогревать, обогреть что;\nачгвын хIакв апещ бзита йгIанарпхитI чугунная печка хорошо обогревает комнату
гIанарышвшвра	гIанары́швшвра\n1. перех.\n1) свистеть (о ветре);\n
гIанахвахара	гIана́хвахара\n1. неперех.\n1) становиться (стать) явным, очевидным;\n проясняться, проясниться, раскрываться, раскрыться;\n
гIанахIвара	гIанахIвара́\n1. неперех.\n1) проступать, проступить, выступать, выступить (оседая на поверхности – о соли, пятнах от сырости и т. п.);\n2) перен. отражаться, отразиться, отображаться, отобразиться;\nагвы йтакъачIваху алакта йгIанахIвитI посл. хранимое в сердце отражается на лице
гIаначпара	гIана́чпара\n1.\n1) (самостоятельно не употребляется)ашахв гIанамчпаскIва джвыквылра отправиться в путь до рассвета
гIанашхыйахара	гIанашхы́йахара\n1. неперех.\n1) расстраиваться, расстроиться;\n печалиться, опечалиться;\n
гIангылра	гIангы́лра\n1.\n1) (самостоятельно не употребляется)снапшвра гIангылитI у меня нарывает рука
гIанкъвакъвра	гIанкъва́къвра\n1. неперех.\n1) спорить с кем;\nйара щарда дгIасанкъвакъвитI он часто спорит со мной\n2) соревноваться с кем;\n3) перен. беспокоить (о боли);\nспыц гIасанкъвакъвитI меня беспокоит зуб
гIанрышвтра	гIанры́швтра побуд. от гIанышвтра\n1. перех.\n1) вываливать, вывалить (по направлению к говорящему) кого-что из чего;\nауандыр ахIахъвква гIанрышвтра вывалить камни из брички\n2) терять, потерять, ронять, выронить (из машины, повозки и т. п.) что;\n3) перен. пренебр. вышвыривать, вышвырнуть, выгонять, выгнать (с работы) кого;\n
гIанхара	гIанхара́\n1.\n1) неперех. оставаться, остаться;\nхIпны угIанха оставайтесь у насакнига хIпны йгIанхатI а) книга осталась домаб) книга осталась у насакIвдыр змаз дцан атшы змаз дгIанхатI посл. имевший седло поехал, а имевший лошадь остался\n2) перех. зарабатывать, заработать что;\nсомшвкI гIанхара заработать сто рублей
гIаншара	гIаншара́\n1.\n1) событие, происшествие;\nуыззымпшуа гIаншара неожиданное событие
гIаншвалра	гIаншва́лра\n1. перех.\n1) появляться, появиться (в печати);\nастатья агазета йгIаншвалтI статья появилась в газете\n2) вмещаться, вместиться, помещаться, поместиться где;\n
гIаныжьра	гIаны́жьра\n1. перех.\n1) оставлять, оставить кого-что где;\nасас упны дгIаныжьра оставить гостя у себя\n2) сохранять, сохранить, приберегать, приберечь что;\nахъвлапынчара ахъазла хшы гIаныжьра оставить молоко на ужин\n3) оставлять, оставить, забывать, забыть, позабыть что где;\nакнига агIвна йгIаныжьра оставить книгу дома\n4) опережать, опередить, обгонять, обогнать кого;\n5) оставлять, оставить после себя (напр. после смерти) кого-что;\nгIвпачва гIанижьын йаргьи дпсгвыщатI он умер, оставив двух сыновей\n6) обносить, обнести, пропускать, пропустить (при угощении) кого;\n
гIаныкъвара	гIаны́къвара\n1. неперех.\n1) ходить, приходить изредка;\n бывать, быть где;\nауи паса ари ашIыпIаква рпны дгIаныкъвакватI раньше он бывал в этих местах
гIанылра	гIаны́лра\n1. неперех.\n1) появляться, появиться (на страницах печати);\n
гIанылшIыц	гIанылшIы́ц\n1.\n1) новшество, новинка;\n
гIаныпщра	гIаны́пщра\n1.\n1) польза;\n прок;\nахъва дзы алачвала йгIаныпщуазтын посл. лей без конца в золу воду - пользы нет
гIаныршара	гIаныршара́ побуд. от гIаншара II\n1. перех.\n1) создавать, создать что;\nатдзы апроект гIаныршара создать проект дома◊апроизводства апны брак гIаныршара допустить брак в производстве
гIанысылра	гIаны́сылра\n1. неперех.\n1) приходить, прийти, заходить, зайти;\nхIпныла уыгьгIанысылхуами ты что-то совсем не заходишь к нам
гIаныхра	гIаны́хра\n1. перех.\n1) сгружать, сгрузить (в сторону говорящего) что;\nамшIква гIаныхра сгружать дрова\n2) снимать, снять (по направлению к говорящему) кого-что с чего, откуда;\nатаца ауандыр дгIаныхраснять невесту с брички (свадебный обряд)\n3) убирать, убрать, брать, взять кого-что;\n4) перен. вычитывать, вычитать что;\nашвъа шIыцракI гIаныхра вычитать из письма новость
гIаныцIра	гIаны́цIра\n1. неперех.\n1) сходить, сойти (по направлению к говорящему) с чего;\nавтобус гIаныцIра сойти с автобуса\n2) уходить, уйти откуда;\n3) увольняться, уволиться (с работы);\nакнига йгIаныцIуайа? о чём рассказывается в книге??◊ачIвыйа ауи йгIаныцIуа?что это означает?;\nснапшвра гIаныцIтI у меня на руке вскочил прыщ
гIанышвтра	гIаны́швтра\n1. неперех.\n1) вываливаться, вывалиться (по направлению к говорящему) из чего;\n
гIаныщтра	гIаны́щтра\n1. перех.\n1) понимать, понять неправильно что;\n
гIапара	гIапара́\n1. неперех.\n1) прыгать, прыгнуть (в длину – по направлению к говорящему);\n
гIапжвара	гIапжвара́\n1.\n1) неперех. разрыватсья, разорваться, лопаться, лопнуть;\nамашакв гIапжватI мешок лопнул\n2) перех. отрывать, оторвать (действуя по направлению к говорящему) что;\nшвъабыгъь тшыткI гIапжвара оторвать кусочек бумаги◊ахча дапнажвитIденежный мешок (о богатом человеке)
гIапкъырта	гIапкъы́рта\n1.\n1) линия отреза (среза, выреза);\n срез;\n
гIапкIра	гIапкIра́\n1. неперех.\n1) беситься, взбеситься;\n
гIапны	гIапны́\n1.\n1) весна;\nгIапын паса ранняя веснаагIапын афгIвы гIахIатI запахло весной\n2. в роли опр.\n1) весенний;\nгIапын кIапсара весенний севгIапын хIврапшдзаква весенние цветы
гIапныла	гIапны́ла\n1. нареч.\n1) весной;\n
гIапра	гIапра́\n1. перех.\n1) рвать что;\n нарвать чего;\nгIвыма напIыла хъваца гIайпитI погов. он чужой рукой крапиву рвётсоотв. чужими руками жар загребать
гIапрышвтра	 I .   г I а п р ы ́ ш в т р а 1 .   п е р е х . 1 )   о т ц е п л я т ь ,   о т ц е п и т ь   ч т о ;\n ( д е й с т в у я   п о   н а п р а в л е н и ю   к   г о в о р я щ е м у ) 2 )   п е р е р е з а т ь ,   п е р е р е з а т ь   ( м г н о в е н н о )   ч т о ;\n 
гIапсара	гIапса́ра\n1.\n1) усталость;\nауи гIапсара гьылдырам она не знает усталости\n2) трудность, затруднение;\nагIапсара йачвымшвауа шырдза щарда аквипситI посл. кто не боится трудностей, тот много проса сеет◊гIапсара агымхара уставать
гIапсарадаъа	гIапса́радаъа\n1. нареч.\n1) без устали;\n неустанно;\nгIапсарадаъа нхара работать без устали
гIапссара	гIапссара́\n1. перех.\n1) строгать, обстрогать что;\n очищать, очистить от сучьев (дерево и т. п.);\nалаба гIапссара обстрогать палку\n2) перен. очищать, очистить, обкрадывать, обокрасть кого-что;\n
гIапссгIара	гIапссгIара́\n1. неперех.\n1) прилетать, прилететь (по направлению к говорящему);\n2) пролетать, пролететь (какое-л. пространство – по направлению к говорящему);\nсахIаткI ауацкилометра хвышв гIапссгIара за час пролететь пятьсот километров
гIапссгIахра	гIапссгIа́хра\n1. неперех.\n1) прилетать, прилететь вновь;\n возвращаться, возвратиться;\nабджьандахIвква гIапссгIахтI скворцы прилетели
гIапхащара	гIапхащара́\n1. неперех.\n1) стыдиться, стесняться, застесняться;\n
гIапхдзыхIвара	гIапхдзы́хIвара\n1. неперех.\n1) потеть, вспотеть;\n
гIапхъысра	гIапхъы́сра\n1. неперех.\n1) обгонять, обогнать, опережать, опередить, побеждать, победить (в беге - двигаясь по направлению к говорящему) кого-то;\nаметрашвкI агIагIвра апны ауи дгIапхъыстI он победил в беге на сто метров
гIапхьадзара	гIапхьадзара́\n1. перех.\n1) подсчитывать, подсчитать что;\nахчаква гIапхьадзара подсчитать деньги
гIапхьара	гIа́пхьара\n1. неперех.\n1) читать, прочитать, зачитывать, зачитать (повернувшись лицом к говорящему) что;\nугIапхьастI прочитай-ка этоуахьчIва лекция йхIызгIапхьатI сегодня нам прочитали лекцию
гIапхьжвара	гIапхьжвара́\n1. перех.\n1) отрывать, оторвать (действуя по направлению к говорящему) что;\nацIла акъвадама гIапхьжвара оторвать ветку дерева
гIапхьырсара	гIапхьырсара́\n1. перех.\n1) отрезать, обрезать (сбоку,  с краю) что;\n
гIапхьырцра	гIапхьырцра́\n1. перех.\n1) отламывать, отломить, отбивать, отбить (сбоку, с краю) что;\nахIвспа пынцгIапхьырцра отломить кончик ножа
гIапшгIара	гIапшгIара́\n1. неперех.\n1) разыскивать, разыскать, отыскивать, отыскать (двигаясь по направлению к говорящему) кого-что;\nадунай гIаспшгIатI - дыгьсмаутI я его разыскивал везде, но не нашёл
гIапшлашв	гIапшла́шв\n1. прил. и сущ.\n1) слепой;\n
